Cod_IBGE;Grande região;Município;casos_20;obitos_20;casos_21;obitos_21
3500105;Interior;Adamantina;1,89E+03;5,02E+01;1,03E+04;3,86E+02
3500204;Interior;Adolfo;4,32E+03;1,45E+02;1,38E+04;4,06E+02
3500303;Interior;Aguaí;1,58E+03;3,09E+01;8,66E+03;2,86E+02
3500402;Interior;Águas da Prata;1,33E+03;6,41E+01;7,44E+03;3,08E+02
3500501;Interior;Águas de Lindóia;1,69E+03;4,35E+01;9,82E+03;2,45E+02
3500550;Interior;Águas de Santa Bárbara;8,09E+02;1,69E+01;9,43E+03;3,03E+02
3500600;Interior;Águas de São Pedro;2,66E+03;6,41E+01;1,21E+04;3,20E+02
3500709;Interior;Agudos;2,82E+03;4,98E+01;1,04E+04;2,57E+02
3500758;Interior;Alambari;2,25E+03;6,92E+01;9,62E+03;1,38E+02
3500808;Interior;Alfredo Marcondes;2,62E+03;7,64E+01;4,58E+03;3,06E+02
3500907;Interior;Altair;1,36E+03;9,91E+01;6,37E+03;3,22E+02
3501004;Interior;Altinópolis;1,70E+03;5,14E+01;4,94E+03;3,02E+02
3501103;Interior;Alto Alegre;2,96E+03;7,47E+01;7,05E+03;4,73E+02
3501152;Interior;Alumínio;2,34E+03;7,23E+01;6,75E+03;2,23E+02
3501202;Interior;Álvares Florence;2,93E+03;1,66E+02;1,44E+04;2,76E+02
3501301;Interior;Álvares Machado;1,74E+03;5,46E+01;8,83E+03;2,82E+02
3501400;Interior;Álvaro de Carvalho;8,33E+02;7,93E+01;4,96E+03;9,91E+01
3501509;Interior;Alvinlândia;1,13E+03;0,00E+00;3,43E+03;2,83E+02
3501608;Interior;Americana;3,43E+03;9,08E+01;8,25E+03;2,74E+02
3501707;Interior;Américo Brasiliense;2,61E+03;4,47E+01;8,19E+03;2,01E+02
3501806;Interior;Américo de Campos;6,57E+03;2,09E+02;1,39E+04;4,01E+02
3501905;Interior;Amparo;2,29E+03;5,31E+01;9,06E+03;2,64E+02
3502002;Interior;Analândia;1,03E+03;4,12E+01;7,05E+03;6,19E+01
3502101;Interior;Andradina;3,86E+03;1,46E+02;8,49E+03;3,55E+02
3502200;Interior;Angatuba;1,67E+03;4,90E+01;1,13E+04;2,69E+02
3502309;Interior;Anhembi;4,95E+02;1,50E+01;4,50E+03;1,50E+02
3502408;Interior;Anhumas;3,33E+03;0,00E+00;6,38E+03;1,77E+02
3502507;Interior;Aparecida;2,00E+03;5,60E+01;6,11E+03;2,69E+02
3502606;Interior;Aparecida d'Oeste;8,11E+03;2,18E+02;1,25E+04;3,15E+02
3502705;Interior;Apiaí;1,00E+03;3,65E+01;6,22E+03;3,53E+02
3502754;Interior;Araçariguama;2,51E+03;5,24E+01;8,07E+03;3,00E+02
3502804;Interior;Araçatuba;5,44E+03;1,08E+02;1,06E+04;3,83E+02
3502903;Interior;Araçoiaba da Serra;2,68E+03;5,87E+01;6,89E+03;2,22E+02
3503000;Interior;Aramina;2,49E+03;9,10E+01;4,18E+03;2,37E+02
3503109;Interior;Arandu;1,12E+03;6,49E+01;9,54E+03;2,76E+02
3503158;Interior;Arapeí;9,71E+02;4,05E+01;9,63E+03;1,21E+02
3503208;Interior;Araraquara;3,43E+03;3,95E+01;7,17E+03;1,99E+02
3503307;Interior;Araras;4,57E+03;6,79E+01;9,59E+03;2,39E+02
3503356;Interior;Arco-Íris;1,10E+03;5,51E+01;8,65E+03;3,85E+02
3503406;Interior;Arealva;2,61E+03;2,44E+01;9,72E+03;2,32E+02
3503505;Interior;Areias;1,51E+03;0,00E+00;7,62E+03;5,20E+01
3503604;Interior;Areiópolis;1,68E+03;3,68E+01;1,14E+04;1,75E+02
3503703;Interior;Ariranha;2,22E+03;1,07E+02;8,68E+03;2,15E+02
3503802;Interior;Artur Nogueira;2,77E+03;7,41E+01;7,91E+03;2,01E+02
3503901;RMSP (exceto capital);Arujá;3,23E+03;1,26E+02;6,54E+03;2,56E+02
3503950;Interior;Aspásia;3,23E+03;1,13E+02;8,84E+03;3,97E+02
3504008;Interior;Assis;2,22E+03;3,75E+01;1,05E+04;3,73E+02
3504107;Interior;Atibaia;2,40E+03;5,30E+01;6,73E+03;1,57E+02
3504206;Interior;Auriflama;4,89E+03;9,67E+01;9,74E+03;4,35E+02
3504305;Interior;Avaí;2,65E+03;5,67E+01;6,68E+03;1,89E+02
3504404;Interior;Avanhandava;2,21E+03;6,60E+01;7,95E+03;2,97E+02
3504503;Interior;Avaré;1,47E+03;2,40E+01;1,21E+04;2,97E+02
3504602;Interior;Bady Bassitt;7,21E+03;1,41E+02;1,84E+04;3,80E+02
3504701;Interior;Balbinos;6,91E+03;8,10E+01;3,05E+03;2,70E+01
3504800;Interior;Bálsamo;7,30E+03;3,17E+02;1,40E+04;4,69E+02
3504909;Interior;Bananal;1,77E+03;9,39E+00;8,87E+03;2,82E+01
3505005;Interior;Barão de Antonina;7,39E+02;2,96E+01;1,46E+04;2,96E+02
3505104;Interior;Barbosa;2,14E+03;2,75E+01;8,55E+03;2,61E+02
3505203;Interior;Bariri;3,85E+03;8,83E+01;5,61E+03;3,06E+02
3505302;Interior;Barra Bonita;3,46E+03;7,73E+01;1,04E+04;2,58E+02
3505351;Interior;Barra do Chapéu;1,18E+03;0,00E+00;7,00E+03;1,99E+02
3505401;Interior;Barra do Turvo;2,85E+03;7,81E+01;6,74E+03;2,21E+02
3505500;Interior;Barretos;5,07E+03;1,29E+02;1,00E+04;3,72E+02
3505609;Interior;Barrinha;2,56E+03;1,05E+02;2,72E+03;1,18E+02
3505708;RMSP (exceto capital);Barueri;4,33E+03;1,68E+02;9,18E+03;2,74E+02
3505807;Interior;Bastos;1,22E+03;3,45E+01;9,41E+03;2,12E+02
3505906;Interior;Batatais;1,61E+03;5,65E+01;9,11E+03;2,37E+02
3506003;Interior;Bauru;5,02E+03;8,26E+01;9,79E+03;2,58E+02
3506102;Interior;Bebedouro;2,44E+03;5,26E+01;4,19E+03;3,84E+02
3506201;Interior;Bento de Abreu;2,14E+03;0,00E+00;1,02E+04;1,70E+02
3506300;Interior;Bernardino de Campos;1,33E+03;3,71E+01;7,17E+03;2,69E+02
3506359;Interior;Bertioga;3,94E+03;8,37E+01;6,69E+03;1,91E+02
3506409;Interior;Bilac;2,47E+03;6,40E+01;9,77E+03;2,18E+02
3506508;Interior;Birigui;3,70E+03;9,73E+01;1,15E+04;4,08E+02
